Aircraft,No_PAX,Length_m,Range_km,Wingspan_m,No_exits,max_take-off_weight_kg,Height_m,Unit_cost_mil$,V_Cruise_km/h,Introduction_date
Embraer 190,100,36,3300,29,6,45000,11,51,850,6/1/1999
Embraer 175,88,32,3300,26,4,36500,10,46,850,17/3/2004
Boeing 787-10,344,68,12000,60,8,254100,17,338,903,18/6/2013
Boeing 777-300ER,408,74,12000,65,10,351543,19,320,920,7/6/1995
Boeing 747-400 Combi,268,71,11500,64,12,396900,19,240,920,1/6/1989
Airbus A330-200,268,58,8800,60,8,233000,17,239,880,1/1/1994
Airbus A330-300,292,64,8200,60,8,233000,17,242,880,1/1/1994
Boeing B737-700,142,34,8500,36,8,65317,13,89,850,1/12/1997
Boeing B737-900,188,42,4300,36,8,76900,13,113,850,5/1/2020
Boeing 747-400,408,71,11500,64,10,390100,19,234,920,1/2/1989
